"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-05","dlcp","roadPresence",0,709271,"Agree roadless"
"regular","1e-05","dlcp","roadPresence",1,3783,"False positive"
"regular","1e-05","dlcp","roadPresence",100,12555,"False negative"
"regular","1e-05","dlcp","roadPresence",101,2179,"Agree roaded"
"regular","1e-05","dlcp","roadPresence",111,34733,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",0,518022,"Agree roadless"
"regular","1e-05","dlcp","forestryDisturbance",1,464,"False positive"
"regular","1e-05","dlcp","forestryDisturbance",10,5256,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",11,7,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",100,2780,"False negative"
"regular","1e-05","dlcp","forestryDisturbance",101,34683,"Agree roaded"
"regular","1e-05","dlcp","forestryDisturbance",110,1442,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",111,183629,"Pre-existing roads"
"klementQGIS",NA,NA,"roadDisturbance",0,458041,"Agree roadless"
"klementQGIS",NA,NA,"roadDisturbance",1,5326,"False positive"
"klementQGIS",NA,NA,"roadDisturbance",100,4214,"False negative"
"klementQGIS",NA,NA,"roadDisturbance",101,34681,"Agree roaded"
"klementQGIS",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",0,708165,"Agree roadless"
"klementQGIS",NA,NA,"roadPresence",1,4889,"False positive"
"klementQGIS",NA,NA,"roadPresence",100,12079,"False negative"
"klementQGIS",NA,NA,"roadPresence",101,2655,"Agree roaded"
"klementQGIS",NA,NA,"roadPresence",111,34733,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",0,518102,"Agree roadless"
"klementQGIS",NA,NA,"forestryDisturbance",1,384,"False positive"
"klementQGIS",NA,NA,"forestryDisturbance",10,5252,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",11,11,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",100,2840,"False negative"
"klementQGIS",NA,NA,"forestryDisturbance",101,34623,"Agree roaded"
"klementQGIS",NA,NA,"forestryDisturbance",110,1466,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",111,183605,"Pre-existing roads"
"cutOnly",NA,NA,"roadDisturbance",0,463367,"Agree roadless"
"cutOnly",NA,NA,"roadDisturbance",100,38895,"False negative"
"cutOnly",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",0,713054,"Agree roadless"
"cutOnly",NA,NA,"roadPresence",100,14734,"False negative"
"cutOnly",NA,NA,"roadPresence",111,34733,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",0,518486,"Agree roadless"
"cutOnly",NA,NA,"forestryDisturbance",10,5263,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",100,3206,"False negative"
"cutOnly",NA,NA,"forestryDisturbance",101,34257,"Agree roaded"
"cutOnly",NA,NA,"forestryDisturbance",110,1520,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",111,183551,"Pre-existing roads"
