"sampleType","sampleDens","method","metric","value","count","agreement"
"centroid","1e-06","mst","forestryDisturbance",100,2334,"False negative"
"centroid","1e-06","mst","forestryDisturbance",101,35066,"Agree roaded"
"centroid","1e-06","mst","forestryDisturbance",110,1409,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",111,184143,"Pre-existing roads"
"regular","1e-05","ilcp","roadDisturbance",0,4834,"Agree roadless"
"regular","1e-05","ilcp","roadDisturbance",1,56,"False positive"
"regular","1e-05","ilcp","roadDisturbance",100,125,"False negative"
"regular","1e-05","ilcp","roadDisturbance",101,271,"Agree roaded"
"regular","1e-05","ilcp","roadDisturbance",111,2663,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",0,5553,"Agree roadless"
"regular","1e-05","ilcp","roadPresence",1,17,"False positive"
"regular","1e-05","ilcp","roadPresence",10,10,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",100,176,"False negative"
"regular","1e-05","ilcp","roadPresence",101,199,"Agree roaded"
"regular","1e-05","ilcp","roadPresence",110,2,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",111,1992,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",0,515205,"Agree roadless"
"regular","1e-05","ilcp","forestryDisturbance",1,2869,"False positive"
"regular","1e-05","ilcp","forestryDisturbance",10,5195,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",11,62,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",100,2406,"False negative"
"regular","1e-05","ilcp","forestryDisturbance",101,34994,"Agree roaded"
"regular","1e-05","ilcp","forestryDisturbance",110,1424,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",111,184128,"Pre-existing roads"
"cutOnly",NA,NA,"roadDisturbance",0,4890,"Agree roadless"
"cutOnly",NA,NA,"roadDisturbance",100,396,"False negative"
"cutOnly",NA,NA,"roadDisturbance",111,2663,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",0,5570,"Agree roadless"
"cutOnly",NA,NA,"roadPresence",10,10,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",100,375,"False negative"
"cutOnly",NA,NA,"roadPresence",110,2,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",111,1992,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",0,518074,"Agree roadless"
"cutOnly",NA,NA,"forestryDisturbance",10,5257,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",100,3200,"False negative"
"cutOnly",NA,NA,"forestryDisturbance",101,34200,"Agree roaded"
"cutOnly",NA,NA,"forestryDisturbance",110,1520,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",111,184032,"Pre-existing roads"
