"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-05","dlcp","roadPresence",1,60,"False positive"
"regular","1e-05","dlcp","roadPresence",100,177,"False negative"
"regular","1e-05","dlcp","roadPresence",101,200,"Agree roaded"
"regular","1e-05","dlcp","roadPresence",111,1992,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",0,505082,"Agree roadless"
"regular","1e-05","dlcp","forestryDisturbance",1,5037,"False positive"
"regular","1e-05","dlcp","forestryDisturbance",10,6546,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",11,115,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",100,2190,"False negative"
"regular","1e-05","dlcp","forestryDisturbance",101,41114,"Agree roaded"
"regular","1e-05","dlcp","forestryDisturbance",110,1166,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",111,185033,"Pre-existing roads"
"cutOnly",NA,NA,"roadDisturbance",0,4890,"Agree roadless"
"cutOnly",NA,NA,"roadDisturbance",100,396,"False negative"
"cutOnly",NA,NA,"roadDisturbance",111,2663,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",0,5580,"Agree roadless"
"cutOnly",NA,NA,"roadPresence",100,377,"False negative"
"cutOnly",NA,NA,"roadPresence",111,1992,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",0,510119,"Agree roadless"
"cutOnly",NA,NA,"forestryDisturbance",10,6661,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",100,2886,"False negative"
"cutOnly",NA,NA,"forestryDisturbance",101,40418,"Agree roaded"
"cutOnly",NA,NA,"forestryDisturbance",110,1344,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",111,184855,"Pre-existing roads"
