"sampleType","sampleDens","method","metric","value","count","agreement"
"centroid","1e-06","mst","roadPresence",111,34687,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",0,505371,"Agree roadless"
"centroid","1e-06","mst","forestryDisturbance",1,4351,"False positive"
"centroid","1e-06","mst","forestryDisturbance",10,6441,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",11,208,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",100,2207,"False negative"
"centroid","1e-06","mst","forestryDisturbance",101,41025,"Agree roaded"
"centroid","1e-06","mst","forestryDisturbance",110,1108,"Pre-existing roads"
"centroid","1e-06","mst","forestryDisturbance",111,185572,"Pre-existing roads"
"regular","1e-05","ilcp","roadDisturbance",0,447047,"Agree roadless"
"regular","1e-05","ilcp","roadDisturbance",1,16320,"False positive"
"regular","1e-05","ilcp","roadDisturbance",100,4343,"False negative"
"regular","1e-05","ilcp","roadDisturbance",101,34552,"Agree roaded"
"regular","1e-05","ilcp","roadDisturbance",111,260259,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",0,704429,"Agree roadless"
"regular","1e-05","ilcp","roadPresence",1,6191,"False positive"
"regular","1e-05","ilcp","roadPresence",10,2382,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",11,52,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",100,12233,"False negative"
"regular","1e-05","ilcp","roadPresence",101,2498,"Agree roaded"
"regular","1e-05","ilcp","roadPresence",110,46,"Pre-existing roads"
"regular","1e-05","ilcp","roadPresence",111,34690,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",0,506236,"Agree roadless"
"regular","1e-05","ilcp","forestryDisturbance",1,3486,"False positive"
"regular","1e-05","ilcp","forestryDisturbance",10,6547,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",11,102,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",100,2366,"False negative"
"regular","1e-05","ilcp","forestryDisturbance",101,40866,"Agree roaded"
"regular","1e-05","ilcp","forestryDisturbance",110,1276,"Pre-existing roads"
"regular","1e-05","ilcp","forestryDisturbance",111,185404,"Pre-existing roads"
"cutOnly",NA,NA,"roadDisturbance",0,463367,"Agree roadless"
"cutOnly",NA,NA,"roadDisturbance",100,38895,"False negative"
"cutOnly",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",0,710620,"Agree roadless"
"cutOnly",NA,NA,"roadPresence",10,2434,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",100,14681,"False negative"
"cutOnly",NA,NA,"roadPresence",101,50,"Agree roaded"
"cutOnly",NA,NA,"roadPresence",110,53,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",111,34683,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",0,509722,"Agree roadless"
"cutOnly",NA,NA,"forestryDisturbance",10,6649,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",100,2880,"False negative"
"cutOnly",NA,NA,"forestryDisturbance",101,40352,"Agree roaded"
"cutOnly",NA,NA,"forestryDisturbance",110,1344,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",111,185336,"Pre-existing roads"
