"sampleType","sampleDens","method","metric","value","count","agreement"
"regular","1e-05","dlcp","roadPresence",0,707598,"Agree roadless"
"regular","1e-05","dlcp","roadPresence",1,5456,"False positive"
"regular","1e-05","dlcp","roadPresence",100,12489,"False negative"
"regular","1e-05","dlcp","roadPresence",101,2245,"Agree roaded"
"regular","1e-05","dlcp","roadPresence",111,34733,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",0,507342,"Agree roadless"
"regular","1e-05","dlcp","forestryDisturbance",1,2777,"False positive"
"regular","1e-05","dlcp","forestryDisturbance",10,6605,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",11,56,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",100,2470,"False negative"
"regular","1e-05","dlcp","forestryDisturbance",101,40834,"Agree roaded"
"regular","1e-05","dlcp","forestryDisturbance",110,1299,"Pre-existing roads"
"regular","1e-05","dlcp","forestryDisturbance",111,184900,"Pre-existing roads"
"klementQGIS",NA,NA,"roadDisturbance",0,447721,"Agree roadless"
"klementQGIS",NA,NA,"roadDisturbance",1,15646,"False positive"
"klementQGIS",NA,NA,"roadDisturbance",100,3855,"False negative"
"klementQGIS",NA,NA,"roadDisturbance",101,35040,"Agree roaded"
"klementQGIS",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",0,706871,"Agree roadless"
"klementQGIS",NA,NA,"roadPresence",1,6183,"False positive"
"klementQGIS",NA,NA,"roadPresence",100,12068,"False negative"
"klementQGIS",NA,NA,"roadPresence",101,2666,"Agree roaded"
"klementQGIS",NA,NA,"roadPresence",110,2,"Pre-existing roads"
"klementQGIS",NA,NA,"roadPresence",111,34731,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",0,508113,"Agree roadless"
"klementQGIS",NA,NA,"forestryDisturbance",1,2006,"False positive"
"klementQGIS",NA,NA,"forestryDisturbance",10,6637,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",11,24,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",100,2538,"False negative"
"klementQGIS",NA,NA,"forestryDisturbance",101,40766,"Agree roaded"
"klementQGIS",NA,NA,"forestryDisturbance",110,1314,"Pre-existing roads"
"klementQGIS",NA,NA,"forestryDisturbance",111,184885,"Pre-existing roads"
"cutOnly",NA,NA,"roadDisturbance",0,463367,"Agree roadless"
"cutOnly",NA,NA,"roadDisturbance",100,38895,"False negative"
"cutOnly",NA,NA,"roadDisturbance",111,260259,"Pre-existing roads"
"cutOnly",NA,NA,"roadPresence",0,713054,"Agree roadless"
"cutOnly",NA,NA,"roadPresence",100,14734,"False negative"
"cutOnly",NA,NA,"roadPresence",111,34733,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",0,510119,"Agree roadless"
"cutOnly",NA,NA,"forestryDisturbance",10,6661,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",100,2886,"False negative"
"cutOnly",NA,NA,"forestryDisturbance",101,40418,"Agree roaded"
"cutOnly",NA,NA,"forestryDisturbance",110,1344,"Pre-existing roads"
"cutOnly",NA,NA,"forestryDisturbance",111,184855,"Pre-existing roads"
